@backstage/plugin-airbrake-backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3.15,0.3.15,0.3.15,0.3.15,0.3.14,0.3.14,0.3.13,0.3.13,0.3.13,0.3.12,0.3.11,0.3.11,0.3.10,0.3.9,0.3.8,0.3.7,0.3.7,0.3.6,0.3.6,0.3.6,0.3.6,0.3.5,0.3.5,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.2,0.3.2,0.3.1,0.3.0,0.3.0,0.3.0,0.2.23,0.2.23,0.2.23,0.2.22,0.2.21,0.2.21,0.2.20,0.2.19,0.2.18,0.2.18,0.2.18,0.2.17,0.2.17,0.2.17,0.2.16,0.2.16,0.2.15,0.2.15,0.2.14,0.2.13,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.11,0.2.10,0.2.10,0.2.10,0.2.9,0.2.8,0.2.8,0.2.7,0.2.6,0.2.6,0.2.5,0.2.5,0.2.5,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3
@backstage/plugin-allure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1.51,0.1.51,0.1.51,0.1.51,0.1.50,0.1.50,0.1.49,0.1.49,0.1.49,0.1.48,0.1.47,0.1.47,0.1.46,0.1.46,0.1.46,0.1.46,0.1.46,0.1.45,0.1.45,0.1.45,0.1.45,0.1.44,0.1.44,0.1.43,0.1.43,0.1.42,0.1.42,0.1.42,0.1.41,0.1.41,0.1.41,0.1.41,0.1.41,0.1.41,0.1.41,0.1.40,0.1.40,0.1.40,0.1.40,0.1.40,0.1.40,0.1.39,0.1.39,0.1.39,0.1.38,0.1.37,0.1.37,0.1.36,0.1.35,0.1.34,0.1.34,0.1.34,0.1.33,0.1.33,0.1.33,0.1.32,0.1.32,0.1.31,0.1.31,0.1.30,0.1.30,0.1.29,0.1.28,0.1.27,0.1.27,0.1.27,0.1.27,0.1.26,0.1.26,0.1.26,0.1.25,0.1.24,0.1.24,0.1.23,0.1.22,0.1.22,0.1.21,0.1.21,0.1.21,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19
@backstage/plugin-analytics-module-ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2.5,0.2.5,0.2.5,0.2.5,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.1,0.2.1,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.37,0.1.37,0.1.37,0.1.37,0.1.36,0.1.36,0.1.35,0.1.35,0.1.35,0.1.35,0.1.35,0.1.34,0.1.34,0.1.34,0.1.34,0.1.34,0.1.34,0.1.34,0.1.33,0.1.33,0.1.33,0.1.33,0.1.33,0.1.33,0.1.32,0.1.32,0.1.32,0.1.32,0.1.32,0.1.32,0.1.31,0.1.30,0.1.29,0.1.29,0.1.29,0.1.28,0.1.28,0.1.28,0.1.27,0.1.27,0.1.26,0.1.26,0.1.25,0.1.25,0.1.24,0.1.23,0.1.22,0.1.22,0.1.22,0.1.22,0.1.21,0.1.21,0.1.21,0.1.20,0.1.19,0.1.19,0.1.18,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.14,0.1.14,0.1.14
@backstage/plugin-analytics-module-ga4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2.5,0.2.5,0.2.5,0.2.5,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.1,0.2.1,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.8,0.1.8,0.1.8,0.1.8,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.1,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-analytics-module-newrelic-browser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.0.6,0.0.6,0.0.6,0.0.6,0.0.5,0.0.5,0.0.4,0.0.4,0.0.4,0.0.4,0.0.4,0.0.3,0.0.3,0.0.3,0.0.3,0.0.3,0.0.3,0.0.3,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2,0.0.1,0.0.1,0.0.1,0.0.1,0.0.1,0.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-apache-airflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2.25,0.2.25,0.2.25,0.2.25,0.2.24,0.2.24,0.2.23,0.2.23,0.2.23,0.2.22,0.2.21,0.2.21,0.2.20,0.2.20,0.2.20,0.2.20,0.2.20,0.2.19,0.2.19,0.2.19,0.2.19,0.2.18,0.2.18,0.2.17,0.2.17,0.2.17,0.2.17,0.2.17,0.2.16,0.2.16,0.2.16,0.2.16,0.2.16,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.13,0.2.12,0.2.11,0.2.11,0.2.11,0.2.10,0.2.10,0.2.10,0.2.9,0.2.9,0.2.8,0.2.8,0.2.7,0.2.7,0.2.6,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.1,0.2.1,0.2.0,0.1.14,0.1.14,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.11,0.1.11,0.1.11,0.1.11
@backstage/plugin-api-docs,0.14.3,0.14.2,0.14.2,0.14.1,0.14.1,0.14.1,0.14.0,0.14.0,0.14.0,0.14.0,0.14.0,0.13.5,0.13.5,0.13.5,0.13.5,0.13.5,0.13.5,0.13.4,0.13.4,0.13.4,0.13.4,0.13.4,0.13.4,0.13.4,0.13.3,0.13.3,0.13.3,0.13.3,0.13.3,0.13.2,0.13.2,0.13.2,0.13.2,0.13.2,0.13.2,0.13.2,0.13.2,0.13.1,0.13.1,0.13.1,0.13.1,0.13.1,0.13.1,0.13.0,0.13.0,0.13.0,0.13.0,0.12.11,0.12.11,0.12.11,0.12.11,0.12.11,0.12.10,0.12.10,0.12.10,0.12.10,0.12.10,0.12.10,0.12.9,0.12.9,0.12.9,0.12.8,0.12.8,0.12.8,0.12.7,0.12.7,0.12.6,0.12.6,0.12.5,0.12.5,0.12.4,0.12.4,0.12.3,0.12.3,0.12.2,0.12.2,0.12.2,0.12.1,0.12.1,0.12.1,0.12.1,0.12.0,0.12.0,0.12.0,0.11.11,0.11.11,0.11.11,0.11.11,0.11.11,0.11.11,0.11.11,0.11.10,0.11.10,0.11.10,0.11.9,0.11.9,0.11.8,0.11.8,0.11.8,0.11.8,0.11.8,0.11.7,0.11.7,0.11.7,0.11.6,0.11.6,0.11.6,0.11.6,0.11.6,0.11.5,0.11.5,0.11.5,0.11.5,0.11.5,0.11.5,0.11.5,0.11.5,0.11.4,0.11.4,0.11.4,0.11.4,0.11.4,0.11.4,0.11.3,0.11.3,0.11.3,0.11.2,0.11.1,0.11.1,0.11.0,0.11.0,0.11.0,0.11.0,0.11.0,0.10.3,0.10.3,0.10.3,0.10.3,0.10.2,0.10.2,0.10.1,0.10.1,0.10.0,0.10.0,0.10.0,0.9.12,0.9.12,0.9.12,0.9.12,0.9.12,0.9.12,0.9.12,0.9.11,0.9.11,0.9.11,0.9.11,0.9.11,0.9.11,0.9.10,0.9.10,0.9.10,0.9.9,0.9.8,0.9.7,0.9.6,0.9.5,0.9.4,0.9.3,0.9.3,0.9.2,0.9.2,0.9.2,0.9.1,0.9.1,0.9.0,0.9.0,0.8.14,0.8.14,0.8.13,0.8.12,0.8.11,0.8.11,0.8.11,0.8.11,0.8.10,0.8.10,0.8.10,0.8.9,0.8.8,0.8.8,0.8.7,0.8.6,0.8.6,0.8.5,0.8.5,0.8.5,0.8.4,0.8.4,0.8.3,0.8.3,0.8.3,0.8.3
@backstage/plugin-api-docs-module-protoc-gen-doc,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,
@backstage/plugin-apollo-explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2.1,0.2.1,0.2.1,0.2.1,0.2.0,0.2.0,0.1.23,0.1.23,0.1.23,0.1.22,0.1.21,0.1.21,0.1.20,0.1.20,0.1.20,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.14,0.1.14,0.1.14,0.1.14,0.1.14,0.1.14,0.1.13,0.1.12,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.8,0.1.8,0.1.7,0.1.7,0.1.6,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,,,,,,,,,,,
@backstage/plugin-app,0.5.1,0.5.0,0.5.0,0.4.6,0.4.6,0.4.6,0.4.5,0.4.5,0.4.5,0.4.4,0.4.3,0.4.3,0.4.2,0.4.2,0.4.2,0.4.2,0.4.1,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.3.5,0.3.5,0.3.5,0.3.4,0.3.4,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.2,0.3.2,0.3.2,0.3.2,0.3.2,0.3.2,0.3.1,0.3.1,0.3.1,0.3.1,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.8,0.1.8,0.1.7,0.1.7,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-app-backend,0.5.16,0.5.15,0.5.15,0.5.14,0.5.14,0.5.14,0.5.13,0.5.13,0.5.13,0.5.13,0.5.13,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.10,0.5.10,0.5.10,0.5.10,0.5.10,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.7,0.5.7,0.5.7,0.5.7,0.5.6,0.5.6,0.5.6,0.5.6,0.5.6,0.5.5,0.5.5,0.5.5,0.5.5,0.5.5,0.5.5,0.5.4,0.5.4,0.5.4,0.5.3,0.5.3,0.5.3,0.5.2,0.5.2,0.5.1,0.5.1,0.5.0,0.5.0,0.4.5,0.4.5,0.4.4,0.4.4,0.4.3,0.4.3,0.4.3,0.4.2,0.4.2,0.4.2,0.4.1,0.4.1,0.4.0,0.4.0,0.3.76,0.3.76,0.3.76,0.3.76,0.3.76,0.3.76,0.3.76,0.3.75,0.3.75,0.3.74,0.3.74,0.3.74,0.3.73,0.3.72,0.3.72,0.3.72,0.3.72,0.3.71,0.3.71,0.3.71,0.3.70,0.3.70,0.3.69,0.3.69,0.3.68,0.3.67,0.3.67,0.3.67,0.3.67,0.3.67,0.3.67,0.3.66,0.3.66,0.3.65,0.3.65,0.3.65,0.3.65,0.3.65,0.3.65,0.3.64,0.3.64,0.3.64,0.3.63,0.3.62,0.3.62,0.3.61,0.3.60,0.3.59,0.3.58,0.3.58,0.3.57,0.3.57,0.3.57,0.3.57,0.3.56,0.3.56,0.3.55,0.3.55,0.3.55,0.3.55,0.3.55,0.3.54,0.3.54,0.3.54,0.3.54,0.3.54,0.3.54,0.3.54,0.3.53,0.3.53,0.3.52,0.3.51,0.3.51,0.3.51,0.3.50,0.3.50,0.3.50,0.3.49,0.3.48,0.3.48,0.3.47,0.3.46,0.3.45,0.3.45,0.3.45,0.3.44,0.3.44,0.3.44,0.3.43,0.3.43,0.3.42,0.3.42,0.3.41,0.3.40,0.3.39,0.3.39,0.3.38,0.3.38,0.3.38,0.3.38,0.3.37,0.3.37,0.3.37,0.3.36,0.3.35,0.3.35,0.3.34,0.3.33,0.3.33,0.3.32,0.3.32,0.3.32,0.3.31,0.3.31,0.3.30,0.3.30,0.3.30,0.3.30
@backstage/plugin-app-module-user-settings,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-app-node,0.1.47,0.1.46,0.1.46,0.1.45,0.1.45,0.1.45,0.1.44,0.1.44,0.1.44,0.1.44,0.1.44,0.1.43,0.1.43,0.1.43,0.1.43,0.1.43,0.1.43,0.1.42,0.1.42,0.1.42,0.1.42,0.1.42,0.1.42,0.1.42,0.1.41,0.1.41,0.1.41,0.1.41,0.1.41,0.1.40,0.1.40,0.1.40,0.1.40,0.1.40,0.1.40,0.1.40,0.1.40,0.1.39,0.1.39,0.1.39,0.1.39,0.1.39,0.1.39,0.1.38,0.1.38,0.1.38,0.1.38,0.1.37,0.1.37,0.1.37,0.1.37,0.1.37,0.1.36,0.1.36,0.1.36,0.1.36,0.1.36,0.1.36,0.1.35,0.1.35,0.1.35,0.1.34,0.1.34,0.1.34,0.1.33,0.1.33,0.1.32,0.1.32,0.1.31,0.1.31,0.1.30,0.1.30,0.1.29,0.1.29,0.1.28,0.1.28,0.1.28,0.1.27,0.1.27,0.1.27,0.1.27,0.1.27,0.1.27,0.1.27,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.25,0.1.25,0.1.25,0.1.25,0.1.25,0.1.24,0.1.23,0.1.23,0.1.23,0.1.23,0.1.22,0.1.22,0.1.22,0.1.21,0.1.21,0.1.20,0.1.20,0.1.19,0.1.18,0.1.18,0.1.18,0.1.18,0.1.18,0.1.18,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.15,0.1.14,0.1.14,0.1.13,0.1.12,0.1.11,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-app-react,0.2.5,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.2,0.2.2,0.2.1,0.2.1,0.2.1,0.2.1,0.2.1,0.2.1,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-app-visualizer,0.2.6,0.2.5,0.2.5,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.1,0.2.1,0.2.1,0.2.1,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.28,0.1.27,0.1.27,0.1.27,0.1.27,0.1.27,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.26,0.1.25,0.1.25,0.1.25,0.1.25,0.1.25,0.1.24,0.1.24,0.1.24,0.1.24,0.1.23,0.1.23,0.1.23,0.1.23,0.1.23,0.1.22,0.1.22,0.1.22,0.1.22,0.1.22,0.1.22,0.1.21,0.1.21,0.1.21,0.1.20,0.1.20,0.1.20,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.14,0.1.14,0.1.13,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.3,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-auth,0.1.10,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-auth-backend,0.29.2,0.29.1,0.29.1,0.29.0,0.29.0,0.29.0,0.28.0,0.28.0,0.28.0,0.28.0,0.28.0,0.27.3,0.27.3,0.27.3,0.27.3,0.27.2,0.27.2,0.27.1,0.27.1,0.27.0,0.27.0,0.27.0,0.27.0,0.27.0,0.26.0,0.26.0,0.26.0,0.26.0,0.26.0,0.25.7,0.25.7,0.25.7,0.25.7,0.25.7,0.25.7,0.25.7,0.25.7,0.25.6,0.25.6,0.25.6,0.25.6,0.25.6,0.25.6,0.25.5,0.25.5,0.25.5,0.25.5,0.25.4,0.25.4,0.25.4,0.25.4,0.25.4,0.25.3,0.25.3,0.25.3,0.25.3,0.25.3,0.25.3,0.25.2,0.25.2,0.25.2,0.25.1,0.25.1,0.25.1,0.25.0,0.25.0,0.24.5,0.24.5,0.24.4,0.24.4,0.24.3,0.24.3,0.24.2,0.24.2,0.24.1,0.24.1,0.24.1,0.24.0,0.24.0,0.24.0,0.24.0,0.24.0,0.24.0,0.24.0,0.23.1,0.23.1,0.23.1,0.23.1,0.23.1,0.23.1,0.23.1,0.23.0,0.23.0,0.23.0,0.23.0,0.23.0,0.22.12,0.22.11,0.22.10,0.22.10,0.22.10,0.22.9,0.22.9,0.22.9,0.22.8,0.22.8,0.22.7,0.22.7,0.22.6,0.22.5,0.22.5,0.22.5,0.22.5,0.22.5,0.22.5,0.22.5,0.22.5,0.22.4,0.22.4,0.22.4,0.22.4,0.22.4,0.22.4,0.22.3,0.22.3,0.22.3,0.22.2,0.22.1,0.22.0,0.21.3,0.21.2,0.21.1,0.21.0,0.21.0,0.20.3,0.20.3,0.20.3,0.20.3,0.20.2,0.20.1,0.20.0,0.20.0,0.20.0,0.20.0,0.20.0,0.19.4,0.19.4,0.19.4,0.19.4,0.19.3,0.19.3,0.19.3,0.19.2,0.19.2,0.19.1,0.19.0,0.19.0,0.19.0,0.18.8,0.18.8,0.18.8,0.18.7,0.18.6,0.18.6,0.18.5,0.18.4,0.18.3,0.18.3,0.18.3,0.18.2,0.18.2,0.18.2,0.18.1,0.18.1,0.18.0,0.18.0,0.17.4,0.17.3,0.17.2,0.17.2,0.17.1,0.17.1,0.17.1,0.17.1,0.17.0,0.17.0,0.17.0,0.16.0,0.15.1,0.15.1,0.15.0,0.14.1,0.14.1,0.14.0,0.14.0,0.14.0,0.13.0,0.13.0,0.12.3,0.12.3,0.12.3,0.12.2
@backstage/plugin-auth-backend-module-atlassian-provider,0.4.17,0.4.16,0.4.16,0.4.15,0.4.15,0.4.15,0.4.14,0.4.14,0.4.14,0.4.14,0.4.14,0.4.13,0.4.13,0.4.13,0.4.13,0.4.13,0.4.13,0.4.12,0.4.12,0.4.12,0.4.12,0.4.12,0.4.12,0.4.12,0.4.11,0.4.11,0.4.11,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.9,0.4.9,0.4.9,0.4.9,0.4.9,0.4.9,0.4.8,0.4.8,0.4.8,0.4.8,0.4.7,0.4.7,0.4.7,0.4.7,0.4.7,0.4.6,0.4.6,0.4.6,0.4.6,0.4.6,0.4.6,0.4.5,0.4.5,0.4.5,0.4.4,0.4.4,0.4.4,0.4.3,0.4.3,0.4.2,0.4.2,0.4.1,0.4.1,0.4.0,0.4.0,0.3.4,0.3.4,0.3.3,0.3.3,0.3.3,0.3.2,0.3.2,0.3.2,0.3.2,0.3.2,0.3.2,0.3.2,0.3.1,0.3.1,0.3.1,0.3.1,0.3.1,0.3.1,0.3.1,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.1,0.2.1,0.2.0,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.7,0.1.6,0.1.6,0.1.5,0.1.4,0.1.3,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
