Package,next,1.11-m2,1.11-m1,1.10,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0
@backstage/plugin-auth-backend-module-gcp-iap-provider,0.4.18-next.0,0.4.17,0.4.16,0.4.13,0.4.9,0.4.6,0.4.3,0.4.0,0.3.4,0.3.1,0.2.17,0.2.12,0.2.8,0.2.0
@backstage/plugin-auth-backend-module-github-provider,0.5.6-next.0,0.5.5,0.5.4,0.5.1,0.3.9,0.3.6,0.3.3,0.3.0,0.2.4,0.2.1,0.1.19,0.1.14,0.1.10,0.1.3
@backstage/plugin-auth-backend-module-gitlab-provider,0.4.6-next.0,0.4.5,0.4.4,0.4.1,0.3.9,0.3.6,0.3.3,0.3.0,0.2.4,0.2.1,0.1.19,0.1.14,0.1.10,0.1.3
@backstage/plugin-auth-backend-module-google-provider,0.3.18-next.0,0.3.17,0.3.16,0.3.13,0.3.9,0.3.6,0.3.3,0.3.0,0.2.4,0.2.1,0.1.19,0.1.14,0.1.10,0.1.3
@backstage/plugin-auth-backend-module-guest-provider,0.2.22-next.0,0.2.21,0.2.20,0.2.17,0.2.14,0.2.11,0.2.8,0.2.5,0.2.4,0.2.1,0.1.8,0.1.3,,
@backstage/plugin-auth-backend-module-microsoft-provider,0.3.18-next.0,0.3.17,0.3.16,0.3.13,0.3.9,0.3.6,0.3.3,0.3.0,0.2.4,0.2.1,0.1.17,0.1.12,0.1.8,0.1.1
@backstage/plugin-auth-backend-module-oauth2-provider,0.4.18-next.0,0.4.17,0.4.16,0.4.13,0.4.9,0.4.6,0.4.3,0.4.0,0.3.4,0.3.1,0.2.3,0.1.14,0.1.10,0.1.3
@backstage/plugin-auth-backend-module-oauth2-proxy-provider,0.3.2-next.0,0.3.1,0.3.0,0.2.18,0.2.14,0.2.11,0.2.8,0.2.5,0.2.4,0.2.1,0.1.15,0.1.10,0.1.6,
@backstage/plugin-auth-backend-module-oidc-provider,0.4.19-next.0,0.4.18,0.4.17,0.4.14,0.4.9,0.4.6,0.4.3,0.4.0,0.3.4,0.3.1,0.2.3,0.1.8,0.1.3,
@backstage/plugin-auth-backend-module-okta-provider,0.2.18-next.0,0.2.17,0.2.16,0.2.13,0.2.9,0.2.6,0.2.3,0.2.0,0.1.4,0.1.1,0.0.15,0.0.10,0.0.6,
@backstage/plugin-auth-backend-module-onelogin-provider,0.3.18-next.0,0.3.17,0.3.16,0.3.13,0.3.9,0.3.6,0.3.3,0.3.0,0.2.4,0.2.1,0.1.3,,,
@backstage/plugin-auth-backend-module-openshift-provider,0.1.10-next.0,0.1.9,0.1.8,0.1.5,0.1.2,,,,,,,,,
@backstage/plugin-auth-backend-module-pinniped-provider,0.3.17-next.0,0.3.16,0.3.15,0.3.12,0.3.9,0.3.6,0.3.3,0.3.0,0.2.4,0.2.1,0.1.16,0.1.11,0.1.7,0.1.0
@backstage/plugin-auth-backend-module-vmware-cloud-provider,0.5.17-next.0,0.5.16,0.5.15,0.5.12,0.5.9,0.5.6,0.5.3,0.5.0,0.4.3,0.4.0,0.2.3,0.1.9,0.1.5,
@backstage/plugin-auth-node,0.7.4-next.0,0.7.3,0.7.2,0.6.14,0.6.9,0.6.6,0.6.3,0.6.0,0.5.6,0.5.3,0.4.17,0.4.12,0.4.8,0.4.0
@backstage/plugin-auth-react,0.1.30-next.0,0.1.29,0.1.28,0.1.25,0.1.21,0.1.18,0.1.15,0.1.12,0.1.11,0.1.7,0.1.4,0.1.1,,
@backstage/plugin-azure-devops,,,,,,,,,,,,0.4.4,0.3.12,0.3.7
@backstage/plugin-azure-devops-backend,,,,,,,,,,,,0.6.5,0.5.5,0.4.3
@backstage/plugin-azure-devops-common,,,,,,,,,,,,0.4.2,0.3.2,0.3.1
@backstage/plugin-azure-sites,,,,,,,,,,,,0.1.24,0.1.19,0.1.14
@backstage/plugin-azure-sites-backend,,,,,,,,,,,,0.3.5,0.2.3,0.1.16
@backstage/plugin-azure-sites-common,,,,,,,,,,,,0.1.4,0.1.2,0.1.1
@backstage/plugin-badges,,,,,,,,,,,,0.2.59,0.2.54,0.2.49
@backstage/plugin-badges-backend,,,,,,,,,,,,0.4.1,0.3.10,0.3.3
@backstage/plugin-bazaar,,,,,,,,,,,,0.2.27,0.2.22,0.2.17
@backstage/plugin-bazaar-backend,,,,,,,,,,,,0.3.16,0.3.11,0.3.4
@backstage/plugin-bitbucket-cloud-common,0.3.11,0.3.11,0.3.11,0.3.8,0.3.4,0.3.1,0.3.0,0.2.27,0.2.27,0.2.24,0.2.21,0.2.18,0.2.16,0.2.13
@backstage/plugin-bitrise,,,,,,,,,,,,0.1.62,0.1.57,0.1.52
@backstage/plugin-catalog,2.0.8-next.0,2.0.7,2.0.6,2.0.1,1.32.0,1.31.2,1.30.0,1.27.0,1.26.1,1.24.0,1.21.1,1.19.0,1.17.0,1.14.0
@backstage/plugin-catalog-backend,3.8.2-next.0,3.8.1,3.8.0,3.5.0,3.2.0,3.0.1,2.0.0,1.31.0,1.30.0,1.27.1,1.24.0,1.21.1,1.17.3,1.14.0
@backstage/plugin-catalog-backend-module-ai-model,0.1.3-next.0,0.1.2,0.1.1,,,,,,,,,,,
@backstage/plugin-catalog-backend-module-aws,0.4.26-next.0,0.4.25,0.4.24,0.4.21,0.4.17,0.4.14,0.4.11,0.4.8,0.4.7,0.4.4,0.3.17,0.3.12,0.3.7,0.3.0
@backstage/plugin-catalog-backend-module-azure,0.3.20-next.0,0.3.19,0.3.18,0.3.15,0.3.11,0.3.8,0.3.5,0.3.2,0.3.1,0.2.3,0.1.42,0.1.37,0.1.32,0.1.25
@backstage/plugin-catalog-backend-module-backstage-openapi,0.5.17-next.0,0.5.16,0.5.15,0.5.12,0.5.8,0.5.5,0.5.2,0.4.5,0.4.4,0.4.1,0.2.5,0.2.0,0.1.6,
@backstage/plugin-catalog-backend-module-bitbucket,,,,,,,,,,,,,,0.2.21
@backstage/plugin-catalog-backend-module-bitbucket-cloud,0.5.14-next.0,0.5.13,0.5.12,0.5.9,0.5.5,0.5.2,0.4.8,0.4.5,0.4.4,0.4.1,0.2.9,0.2.4,0.1.28,0.1.21
@backstage/plugin-catalog-backend-module-bitbucket-server,0.5.14-next.0,0.5.13,0.5.12,0.5.9,0.5.5,0.5.2,0.4.1,0.3.2,0.3.1,0.2.3,0.1.36,0.1.31,0.1.26,0.1.19
@backstage/plugin-catalog-backend-module-gcp,0.3.22-next.0,0.3.21,0.3.20,0.3.17,0.3.14,0.3.11,0.3.8,0.3.5,0.3.4,0.3.1,0.1.23,0.1.18,0.1.13,0.1.6
@backstage/plugin-catalog-backend-module-gerrit,0.3.17-next.0,0.3.16,0.3.15,0.3.12,0.3.8,0.3.5,0.3.2,0.2.7,0.2.6,0.2.3,0.1.39,0.1.34,0.1.29,0.1.22
@backstage/plugin-catalog-backend-module-gitea,0.1.15-next.0,0.1.14,0.1.13,0.1.10,0.1.6,0.1.3,0.1.0,,,,,,,
@backstage/plugin-catalog-backend-module-github,0.13.5-next.0,0.13.4,0.13.3,0.13.0,0.11.2,0.10.2,0.9.0,0.7.10,0.7.9,0.7.6,0.6.5,0.6.0,0.5.3,0.4.4
@backstage/plugin-catalog-backend-module-github-org,0.3.25-next.0,0.3.24,0.3.23,0.3.20,0.3.16,0.3.13,0.3.10,0.3.7,0.3.6,0.3.3,0.1.17,0.1.12,0.1.7,0.1.0
@backstage/plugin-catalog-backend-module-gitlab,0.8.6-next.0,0.8.5,0.8.4,0.8.1,0.7.5,0.7.2,0.6.6,0.6.3,0.6.2,0.4.4,0.3.21,0.3.15,0.3.10,0.3.3
@backstage/plugin-catalog-backend-module-gitlab-org,0.2.24-next.0,0.2.23,0.2.22,0.2.19,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.0.5,,,
@backstage/plugin-catalog-backend-module-incremental-ingestion,0.7.15-next.0,0.7.14,0.7.13,0.7.10,0.7.6,0.7.3,0.7.0,0.6.3,0.6.2,0.5.6,0.4.27,0.4.22,0.4.17,0.4.10
@backstage/plugin-catalog-backend-module-ldap,0.12.8-next.0,0.12.7,0.12.6,0.12.3,0.12.0,0.11.8,0.11.5,0.11.2,0.11.1,0.9.1,0.7.0,0.5.33,0.5.28,0.5.21
@backstage/plugin-catalog-backend-module-logs,0.1.25-next.0,0.1.24,0.1.23,0.1.20,0.1.16,0.1.13,0.1.10,0.1.7,0.1.6,0.1.3,0.0.1,,,
@backstage/plugin-catalog-backend-module-msgraph,0.10.5-next.0,0.10.4,0.10.3,0.9.1,0.8.2,0.7.3,0.7.0,0.6.7,0.6.6,0.6.3,0.5.30,0.5.25,0.5.20,0.5.13
@backstage/plugin-catalog-backend-module-msgraph-incremental,0.1.3-next.0,0.1.2,0.1.1,,,,,,,,,,,
@backstage/plugin-catalog-backend-module-openapi,0.2.25-next.0,0.2.24,0.2.23,0.2.20,0.2.16,0.2.13,0.2.10,0.2.7,0.2.6,0.2.3,0.1.40,0.1.35,0.1.30,0.1.23
@backstage/plugin-catalog-backend-module-puppetdb,0.2.25-next.0,0.2.24,0.2.23,0.2.20,0.2.16,0.2.13,0.2.10,0.2.7,0.2.6,0.2.3,0.1.28,0.1.23,0.1.18,0.1.11
@backstage/plugin-catalog-backend-module-scaffolder-entity-model,0.2.23-next.0,0.2.22,0.2.21,0.2.18,0.2.14,0.2.11,0.2.8,0.2.5,0.2.4,0.2.1,0.1.20,0.1.15,0.1.10,0.1.3
@backstage/plugin-catalog-backend-module-unprocessed,0.6.15-next.0,0.6.14,0.6.13,0.6.9,0.6.6,0.6.3,0.6.0,0.5.5,0.5.4,0.5.1,0.4.9,0.4.4,0.3.10,0.3.3
@backstage/plugin-catalog-common,1.1.10,1.1.10,1.1.10,1.1.8,1.1.7,1.1.5,1.1.4,1.1.3,1.1.3,1.1.0,1.0.25,1.0.22,1.0.21,1.0.17
@backstage/plugin-catalog-graph,0.6.7-next.0,0.6.6,0.6.5,0.6.0,0.5.3,0.4.22,0.4.19,0.4.16,0.4.15,0.4.11,0.4.7,0.4.4,0.4.0,0.2.37
@backstage/plugin-catalog-graphql,,,,,,,,,,,,,,0.4.0
@backstage/plugin-catalog-import,0.13.16-next.0,0.13.15,0.13.14,0.13.11,0.13.7,0.13.4,0.13.0,0.12.10,0.12.9,0.12.5,0.12.1,0.10.10,0.10.6,0.10.1
