Package,next,1.11-m2,1.11-m1,1.10,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0
@backstage/plugin-events-backend-test-utils,0.1.58-next.0,0.1.57,0.1.56,0.1.53,0.1.50,0.1.47,0.1.44,0.1.41,0.1.40,0.1.37,0.1.32,0.1.27,0.1.23,0.1.16
@backstage/plugin-events-node,0.4.25-next.0,0.4.24,0.4.23,0.4.20,0.4.17,0.4.14,0.4.11,0.4.8,0.4.7,0.4.4,0.3.8,0.3.3,0.2.22,0.2.15
@backstage/plugin-explore,,,,,,,,,,,,0.4.21,0.4.16,0.4.11
@backstage/plugin-explore-backend,,,,,,,,,,,,0.0.28,0.0.23,0.0.16
@backstage/plugin-explore-common,,,,,,,,,,,,0.0.3,0.0.2,0.0.2
@backstage/plugin-explore-react,,,,,,,,,,,,0.0.39,0.0.36,0.0.32
@backstage/plugin-firehydrant,,,,,,,,,,,,0.2.19,0.2.14,0.2.9
@backstage/plugin-fossa,,,,,,,,,,,,0.2.67,0.2.62,0.2.57
@backstage/plugin-gateway-backend,1.1.8-next.0,1.1.7,1.1.6,1.1.3,1.1.0,1.0.4,1.0.1,,,,,,,
@backstage/plugin-gcalendar,,,,,,,,,,,,0.3.28,0.3.23,0.3.19
@backstage/plugin-gcp-projects,,,,,,,,,,,,0.3.51,0.3.46,0.3.42
@backstage/plugin-git-release-manager,,,,,,,,,,,,0.3.47,0.3.42,0.3.38
@backstage/plugin-github-actions,,,,,,,,,,,,0.6.16,0.6.11,0.6.6
@backstage/plugin-github-deployments,,,,,,,,,,,,0.1.66,0.1.61,0.1.56
@backstage/plugin-github-issues,,,,,,,,,,,,0.4.2,0.2.19,0.2.14
@backstage/plugin-github-pull-requests-board,,,,,,,,,,,,0.2.1,0.1.24,0.1.19
@backstage/plugin-gitops-profiles,,,,,,,,,,,,0.3.50,0.3.45,0.3.41
@backstage/plugin-gocd,,,,,,,,,,,,0.1.41,0.1.36,0.1.31
@backstage/plugin-graphiql,,,,,,,,,,,,0.3.8,0.3.3,0.2.55
@backstage/plugin-graphql-backend,,,,,,,,,,,,,,0.2.0
@backstage/plugin-graphql-voyager,,,,,,,,,,,,0.1.17,0.1.12,0.1.8
@backstage/plugin-home,0.9.9-next.0,0.9.8,0.9.7,0.9.3,0.8.14,0.8.11,0.8.8,0.8.5,0.8.4,0.8.0,0.7.8,0.7.3,0.6.2,0.5.9
@backstage/plugin-home-react,0.1.41-next.0,0.1.40,0.1.39,0.1.36,0.1.32,0.1.29,0.1.26,0.1.23,0.1.22,0.1.18,0.1.15,0.1.12,0.1.8,0.1.4
@backstage/plugin-ilert,,,,,,,,,,,,0.2.24,0.2.19,0.2.14
@backstage/plugin-jenkins,,,,,,,,,,,,0.9.10,0.9.5,0.9.0
@backstage/plugin-jenkins-backend,,,,,,,,,,,,0.4.5,0.3.7,0.3.0
@backstage/plugin-jenkins-common,,,,,,,,,,,,0.1.26,0.1.24,0.1.20
@backstage/plugin-kafka,,,,,,,,,,,,0.3.35,0.3.30,0.3.25
@backstage/plugin-kafka-backend,,,,,,,,,,,,0.3.16,0.3.11,0.3.4
@backstage/plugin-kubernetes,0.12.22-next.0,0.12.21,0.12.20,0.12.17,0.12.13,0.12.10,0.12.7,0.12.4,0.12.3,0.11.16,0.11.12,0.11.9,0.11.5,0.11.0
@backstage/plugin-kubernetes-backend,0.21.7-next.0,0.21.6,0.21.5,0.21.2,0.20.4,0.20.1,0.19.6,0.19.3,0.19.2,0.18.7,0.18.3,0.17.0,0.15.3,0.13.0
@backstage/plugin-kubernetes-cluster,0.0.40-next.0,0.0.39,0.0.38,0.0.35,0.0.31,0.0.28,0.0.25,0.0.22,0.0.21,0.0.17,0.0.13,0.0.10,0.0.6,0.0.1
@backstage/plugin-kubernetes-common,0.9.12,0.9.12,0.9.12,0.9.10,0.9.8,0.9.6,0.9.5,0.9.3,0.9.2,0.8.3,0.8.1,0.7.5,0.7.4,0.7.0
@backstage/plugin-kubernetes-node,0.4.7-next.0,0.4.6,0.4.5,0.4.2,0.3.6,0.3.3,0.3.0,0.2.3,0.2.2,0.1.20,0.1.16,0.1.11,0.1.7,0.1.0
@backstage/plugin-kubernetes-react,0.5.23-next.0,0.5.22,0.5.21,0.5.17,0.5.13,0.5.10,0.5.7,0.5.4,0.5.3,0.4.4,0.4.1,0.3.4,0.3.0,0.1.0
@backstage/plugin-lighthouse,,,,,,,,,,,,0.4.20,0.4.15,0.4.10
@backstage/plugin-lighthouse-backend,,,,,,,,,,,,0.4.11,0.4.5,0.3.3
@backstage/plugin-lighthouse-common,,,,,,,,,,,,0.1.6,0.1.4,0.1.4
@backstage/plugin-linguist,,,,,,,,,,,,0.1.20,0.1.15,0.1.10
@backstage/plugin-linguist-backend,,,,,,,,,,,,0.5.16,0.5.10,0.5.3
@backstage/plugin-linguist-common,,,,,,,,,,,,0.1.3,0.1.2,0.1.2
@backstage/plugin-mcp-actions-backend,0.2.1-next.0,0.2.0,0.1.14,0.1.11,0.1.5,0.1.2,,,,,,,,
@backstage/plugin-microsoft-calendar,,,,,,,,,,,,0.1.17,0.1.12,0.1.8
@backstage/plugin-mui-to-bui,0.2.10-next.0,0.2.9,0.2.8,0.2.5,0.2.1,,,,,,,,,
@backstage/plugin-newrelic,,,,,,,,,,,,0.3.50,0.3.45,0.3.41
@backstage/plugin-newrelic-dashboard,,,,,,,,,,,,0.3.10,0.3.5,0.3.0
@backstage/plugin-nomad,,,,,,,,,,,,0.1.16,0.1.11,0.1.6
@backstage/plugin-nomad-backend,,,,,,,,,,,,0.1.20,0.1.15,0.1.8
@backstage/plugin-notifications,0.5.20-next.0,0.5.19,0.5.18,0.5.15,0.5.11,0.5.8,0.5.5,0.5.2,0.5.1,0.3.2,0.2.3,0.2.0,0.0.1,
@backstage/plugin-notifications-backend,0.6.8-next.0,0.6.7,0.6.6,0.6.3,0.6.0,0.5.9,0.5.6,0.5.3,0.5.1,0.4.2,0.3.3,0.2.0,0.0.4,
@backstage/plugin-notifications-backend-module-email,0.3.24-next.0,0.3.23,0.3.22,0.3.19,0.3.16,0.3.12,0.3.9,0.3.6,0.3.5,0.3.2,0.1.3,,,
@backstage/plugin-notifications-backend-module-slack,0.4.5-next.0,0.4.4,0.4.3,0.4.0,0.2.1,0.1.4,0.1.1,,,,,,,
@backstage/plugin-notifications-common,0.2.3,0.2.3,0.2.3,0.2.1,0.2.0,0.1.0,0.0.8,0.0.8,0.0.8,0.0.5,0.0.5,0.0.3,0.0.1,
@backstage/plugin-notifications-node,0.2.29-next.0,0.2.28,0.2.27,0.2.24,0.2.21,0.2.18,0.2.15,0.2.12,0.2.11,0.2.8,0.2.3,0.1.3,0.0.4,
@backstage/plugin-octopus-deploy,,,,,,,,,,,,0.2.17,0.2.12,0.2.7
@backstage/plugin-opencost,,,,,,,,,,,,0.2.10,0.2.5,0.2.1
@backstage/plugin-org,0.7.7-next.0,0.7.6,0.7.5,0.7.0,0.6.46,0.6.43,0.6.39,0.6.36,0.6.35,0.6.31,0.6.27,0.6.24,0.6.20,0.6.15
@backstage/plugin-org-react,0.1.53-next.0,0.1.52,0.1.51,0.1.48,0.1.44,0.1.41,0.1.38,0.1.35,0.1.34,0.1.30,0.1.26,0.1.23,0.1.19,0.1.14
@backstage/plugin-pagerduty,,,,,,,,,,,,0.7.7,0.7.2,0.6.6
@backstage/plugin-periskop,,,,,,,,,,,,0.1.33,0.1.28,0.1.23
@backstage/plugin-periskop-backend,,,,,,,,,,,,0.2.16,0.2.11,0.2.4
@backstage/plugin-permission-backend,0.7.15-next.0,0.7.14,0.7.13,0.7.10,0.7.6,0.7.3,0.7.0,0.5.54,0.5.53,0.5.50,0.5.46,0.5.41,0.5.36,0.5.29
@backstage/plugin-permission-backend-module-allow-all-policy,0.2.22-next.0,0.2.21,0.2.20,0.2.17,0.2.14,0.2.11,0.2.8,0.2.5,0.2.4,0.2.1,0.1.19,0.1.14,0.1.10,0.1.3
@backstage/plugin-permission-common,0.9.9,0.9.9,0.9.9,0.9.7,0.9.3,0.9.1,0.9.0,0.8.4,0.8.4,0.8.1,0.8.0,0.7.13,0.7.12,0.7.9
@backstage/plugin-permission-node,0.11.3-next.0,0.11.2,0.11.1,0.10.11,0.10.6,0.10.3,0.10.0,0.8.8,0.8.7,0.8.4,0.8.0,0.7.28,0.7.24,0.7.17
@backstage/plugin-permission-react,0.5.3,0.5.3,0.5.2,0.4.41,0.4.38,0.4.36,0.4.34,0.4.31,0.4.30,0.4.27,0.4.24,0.4.22,0.4.20,0.4.16
@backstage/plugin-playlist,,,,,,,,,,,,0.2.9,0.2.4,0.1.17
@backstage/plugin-playlist-backend,,,,,,,,,,,,0.3.22,0.3.17,0.3.10
@backstage/plugin-playlist-common,,,,,,,,,,,,0.1.16,0.1.14,0.1.11
@backstage/plugin-proxy-backend,0.6.16-next.0,0.6.15,0.6.14,0.6.11,0.6.8,0.6.5,0.6.2,0.5.11,0.5.10,0.5.7,0.5.3,0.4.15,0.4.11,0.4.4
@backstage/plugin-proxy-node,0.1.18-next.0,0.1.17,0.1.16,0.1.13,0.1.10,0.1.7,0.1.4,0.1.1,0.1.0,,,,,
@backstage/plugin-puppetdb,,,,,,,,,,,,0.1.18,0.1.13,0.1.8
@backstage/plugin-rollbar,,,,,,,,,,,,0.4.35,0.4.30,0.4.25
@backstage/plugin-rollbar-backend,,,,,,,,,,,,0.1.63,0.1.58,0.1.51
@backstage/plugin-scaffolder,1.38.2-next.0,1.38.1,1.38.0,1.36.1,1.34.3,1.34.0,1.31.0,1.28.0,1.27.5,1.26.2,1.23.0,1.19.3,1.18.0,1.15.1
@backstage/plugin-scaffolder-backend,4.0.3-next.0,4.0.2,4.0.1,3.3.0,3.0.1,2.2.0,1.33.0,1.30.0,1.29.0,1.26.3,1.23.0,1.22.5,1.21.3,1.18.1
@backstage/plugin-scaffolder-backend-module-azure,0.2.24-next.0,0.2.23,0.2.22,0.2.19,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.14,0.1.9,0.1.5,
@backstage/plugin-scaffolder-backend-module-bitbucket,,,,,0.3.16,0.3.13,0.3.10,0.3.7,0.3.6,0.3.2,0.2.12,0.2.7,0.2.3,
@backstage/plugin-scaffolder-backend-module-bitbucket-cloud,0.3.9-next.0,0.3.8,0.3.7,0.3.4,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.12,0.1.7,0.1.3,
@backstage/plugin-scaffolder-backend-module-bitbucket-server,0.2.24-next.0,0.2.23,0.2.22,0.2.19,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.12,0.1.7,0.1.3,
@backstage/plugin-scaffolder-backend-module-confluence-to-markdown,0.3.24-next.0,0.3.23,0.3.22,0.3.19,0.3.15,0.3.12,0.3.9,0.3.6,0.3.5,0.3.2,0.2.23,0.2.18,0.2.14,0.2.7
@backstage/plugin-scaffolder-backend-module-cookiecutter,0.3.26-next.0,0.3.25,0.3.24,0.3.21,0.3.17,0.3.14,0.3.10,0.3.7,0.3.6,0.3.3,0.2.46,0.2.41,0.2.37,0.2.30
@backstage/plugin-scaffolder-backend-module-gcp,0.2.24-next.0,0.2.23,0.2.22,0.2.19,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.0,,,
@backstage/plugin-scaffolder-backend-module-gerrit,0.2.24-next.0,0.2.23,0.2.22,0.2.19,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.14,0.1.9,0.1.5,
@backstage/plugin-scaffolder-backend-module-gitea,0.2.24-next.0,0.2.23,0.2.22,0.2.19,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.12,0.1.7,0.1.3,
@backstage/plugin-scaffolder-backend-module-github,0.9.12-next.0,0.9.11,0.9.10,0.9.7,0.9.2,0.8.2,0.7.1,0.6.0,0.5.5,0.5.2,0.4.0,0.2.7,0.2.3,
@backstage/plugin-scaffolder-backend-module-gitlab,0.11.9-next.0,0.11.8,0.11.7,0.11.4,0.10.0,0.9.4,0.9.1,0.8.0,0.7.1,0.6.1,0.4.4,0.3.3,0.2.16,0.2.9
@backstage/plugin-scaffolder-backend-module-notifications,0.1.25-next.0,0.1.24,0.1.23,0.1.20,0.1.16,0.1.13,0.1.10,0.1.7,0.1.6,0.1.3,0.0.5,,,
@backstage/plugin-scaffolder-backend-module-rails,0.5.24-next.0,0.5.23,0.5.22,0.5.19,0.5.15,0.5.12,0.5.9,0.5.6,0.5.5,0.5.2,0.4.39,0.4.34,0.4.30,0.4.23
@backstage/plugin-scaffolder-backend-module-sentry,0.3.7-next.0,0.3.6,0.3.5,0.3.2,0.2.15,0.2.12,0.2.9,0.2.6,0.2.5,0.2.2,0.1.30,0.1.25,0.1.21,0.1.14
@backstage/plugin-scaffolder-backend-module-yeoman,0.4.25-next.0,0.4.24,0.4.23,0.4.20,0.4.16,0.4.13,0.4.10,0.4.7,0.4.6,0.4.3,0.3.6,0.3.0,0.2.34,0.2.27
@backstage/plugin-scaffolder-common,2.2.1,2.2.1,2.2.1,2.0.0,1.7.3,1.7.0,1.5.11,1.5.9,1.5.9,1.5.6,1.5.4,1.5.1,1.5.0,1.4.2
@backstage/plugin-scaffolder-node,0.13.6-next.0,0.13.5,0.13.4,0.13.1,0.12.1,0.11.0,0.8.2,0.7.0,0.6.3,0.5.1,0.4.8,0.4.3,0.3.3,0.2.7
@backstage/plugin-scaffolder-node-test-utils,0.3.14-next.0,0.3.13,0.3.12,0.3.9,0.3.5,0.3.2,0.2.2,0.1.19,0.1.18,0.1.15,0.1.9,0.1.3,,
@backstage/plugin-scaffolder-react,2.0.3-next.0,2.0.2,2.0.1,1.20.0,1.19.3,1.19.0,1.16.0,1.14.5,1.14.4,1.13.2,1.10.0,1.8.4,1.8.0,1.5.6
@backstage/plugin-search,1.7.7-next.0,1.7.6,1.7.5,1.7.0,1.5.0,1.4.29,1.4.26,1.4.23,1.4.22,1.4.18,1.4.14,1.4.10,1.4.6,1.4.1
@backstage/plugin-search-backend,2.1.5-next.0,2.1.4,2.1.3,2.1.0,2.0.8,2.0.5,2.0.2,1.8.2,1.8.1,1.6.1,1.5.14,1.5.7,1.5.3,1.4.6
@backstage/plugin-search-backend-module-catalog,0.3.18-next.0,0.3.17,0.3.16,0.3.13,0.3.10,0.3.7,0.3.4,0.3.1,0.3.0,0.2.4,0.1.28,0.1.23,0.1.17,0.1.10
@backstage/plugin-search-backend-module-elasticsearch,1.8.6-next.0,1.8.5,1.8.4,1.8.1,1.7.8,1.7.5,1.7.2,1.6.5,1.6.4,1.6.1,1.5.3,1.4.0,1.3.16,1.3.9
@backstage/plugin-search-backend-module-explore,0.3.17-next.0,0.3.16,0.3.15,0.3.12,0.3.9,0.3.6,0.3.2,0.2.8,0.2.7,0.2.4,0.1.28,0.1.23,0.1.17,0.1.10
@backstage/plugin-search-backend-module-pg,0.5.58-next.0,0.5.57,0.5.56,0.5.53,0.5.50,0.5.47,0.5.44,0.5.41,0.5.40,0.5.37,0.5.32,0.5.26,0.5.22,0.5.15
@backstage/plugin-search-backend-module-stack-overflow-collator,0.3.23-next.0,0.3.22,0.3.21,0.3.18,0.3.15,0.3.12,0.3.9,0.3.6,0.3.5,0.3.2,0.1.15,0.1.10,0.1.6,
@backstage/plugin-search-backend-module-techdocs,0.4.17-next.0,0.4.16,0.4.15,0.4.12,0.4.8,0.4.5,0.4.2,0.3.6,0.3.5,0.3.1,0.1.27,0.1.22,0.1.17,0.1.10
@backstage/plugin-search-backend-node,1.4.7-next.0,1.4.6,1.4.5,1.4.2,1.3.17,1.3.14,1.3.11,1.3.8,1.3.7,1.3.4,1.2.27,1.2.21,1.2.17,1.2.10
@backstage/plugin-search-common,1.2.24,1.2.24,1.2.24,1.2.22,1.2.21,1.2.19,1.2.18,1.2.17,1.2.17,1.2.14,1.2.13,1.2.11,1.2.10,1.2.7
@backstage/plugin-search-react,1.11.7-next.0,1.11.6,1.11.5,1.11.0,1.10.0,1.9.3,1.9.0,1.8.6,1.8.5,1.8.1,1.7.13,1.7.10,1.7.6,1.7.1
@backstage/plugin-sentry,,,,,,,,,,,,0.5.20,0.5.15,0.5.10
@backstage/plugin-shortcuts,,,,,,,,,,,,0.3.24,0.3.19,0.3.15
@backstage/plugin-signals,0.0.34-next.0,0.0.33,0.0.32,0.0.29,0.0.25,0.0.22,0.0.19,0.0.16,0.0.15,0.0.11,0.0.8,0.0.5,0.0.1,
@backstage/plugin-signals-backend,0.3.18-next.0,0.3.17,0.3.16,0.3.13,0.3.10,0.3.7,0.3.4,0.3.1,0.3.0,0.2.2,0.1.8,0.1.3,0.0.4,
@backstage/plugin-signals-node,0.2.4-next.0,0.2.3,0.2.2,0.1.29,0.1.26,0.1.23,0.1.20,0.1.17,0.1.16,0.1.13,0.1.8,0.1.3,0.0.4,
@backstage/plugin-signals-react,0.0.24,0.0.24,0.0.23,0.0.20,0.0.17,0.0.15,0.0.13,0.0.10,0.0.9,0.0.6,0.0.4,0.0.3,0.0.1,
@backstage/plugin-sonarqube,,,,,,,,,,,,0.7.17,0.7.12,0.7.7
@backstage/plugin-sonarqube-backend,,,,,,,,,,,,0.2.20,0.2.15,0.2.8
@backstage/plugin-sonarqube-react,,,,,,,,,,,,0.1.16,0.1.13,0.1.9
@backstage/plugin-splunk-on-call,,,,,,,,,,,,0.4.24,0.4.19,0.4.14
@backstage/plugin-stack-overflow,,,,,,,,,,,,0.1.30,0.1.25,0.1.21
@backstage/plugin-stack-overflow-backend,,,,,,,,,,,,0.2.22,0.2.17,0.2.10
@backstage/plugin-stackstorm,,,,,,,,,,,,0.1.16,0.1.11,0.1.7
@backstage/plugin-tech-insights,,,,,,,,,,,,0.3.27,0.3.22,0.3.17
@backstage/plugin-tech-insights-backend,,,,,,,,,,,,0.5.32,0.5.27,0.5.20
@backstage/plugin-tech-insights-backend-module-jsonfc,,,,,,,,,,,,0.1.50,0.1.45,0.1.38
@backstage/plugin-tech-insights-common,,,,,,,,,,,,0.2.13,0.2.12,0.2.12
@backstage/plugin-tech-insights-node,,,,,,,,,,,,0.6.1,0.4.19,0.4.12
@backstage/plugin-tech-radar,,,,,,,,,,,,0.7.4,0.6.13,0.6.9
@backstage/plugin-techdocs,1.18.0-next.0,1.17.8,1.17.7,1.17.2,1.16.0,1.14.1,1.12.6,1.12.3,1.12.2,1.11.0,1.10.7,1.10.4,1.10.0,1.8.0
@backstage/plugin-techdocs-addons-test-utils,2.0.8-next.0,2.0.7,2.0.6,2.0.3,1.1.2,1.0.52,1.0.48,1.0.45,1.0.44,1.0.40,1.0.36,1.0.31,1.0.27,1.0.22
@backstage/plugin-techdocs-backend,2.2.3-next.0,2.2.2,2.2.1,2.1.6,2.1.2,2.0.5,2.0.2,1.11.6,1.11.5,1.11.1,1.10.9,1.10.4,1.9.6,1.8.0
@backstage/plugin-techdocs-common,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,
@backstage/plugin-techdocs-module-addons-contrib,1.1.39-next.0,1.1.38,1.1.37,1.1.34,1.1.30,1.1.27,1.1.24,1.1.21,1.1.20,1.1.16,1.1.12,1.1.9,1.1.5,1.1.1
@backstage/plugin-techdocs-node,1.15.3-next.0,1.15.2,1.15.1,1.14.4,1.13.9,1.13.6,1.13.3,1.13.0,1.12.16,1.12.12,1.12.8,1.12.3,1.11.5,1.9.0
@backstage/plugin-techdocs-react,1.3.14-next.0,1.3.13,1.3.12,1.3.9,1.3.5,1.3.2,1.2.17,1.2.14,1.2.13,1.2.9,1.2.6,1.2.3,1.1.16,1.1.12
@backstage/plugin-todo,,,,,,,,,,,,0.2.39,0.2.34,0.2.29
@backstage/plugin-todo-backend,,,,,,,,,,,,0.3.17,0.3.11,0.3.4
@backstage/plugin-user-settings,0.9.6-next.0,0.9.5,0.9.4,0.9.1,0.8.29,0.8.25,0.8.22,0.8.19,0.8.18,0.8.14,0.8.10,0.8.5,0.8.1,0.7.11
@backstage/plugin-user-settings-backend,0.4.6-next.0,0.4.5,0.4.4,0.4.1,0.3.8,0.3.5,0.3.2,0.2.30,0.2.29,0.2.26,0.2.21,0.2.16,0.2.12,0.2.5
@backstage/plugin-user-settings-common,0.1.0,0.1.0,0.1.0,0.1.0,0.0.1,0.0.1,0.0.1,0.0.1,0.0.1,0.0.1,0.0.1,,,
@backstage/plugin-vault,,,,,,,,,,,,0.1.30,0.1.25,0.1.20
@backstage/plugin-vault-backend,,,,,,,,,,,,0.4.11,0.4.6,0.3.11
@backstage/plugin-vault-node,,,,,,,,,,,,0.1.11,0.1.6,
@backstage/plugin-xcmetrics,,,,,,,,,,,,0.2.53,0.2.48,0.2.44
@backstage/release-manifests,0.0.13,0.0.13,0.0.13,0.0.13,0.0.13,0.0.13,0.0.13,0.0.12,0.0.12,0.0.11,0.0.11,0.0.11,0.0.11,0.0.10
@backstage/repo-tools,0.18.1-next.0,0.18.0,0.17.3,0.17.0,0.16.0,0.15.1,0.13.4,0.13.0,0.12.1,0.10.0,0.9.4,0.8.0,0.6.3,0.3.5
@backstage/test-utils,1.7.21-next.0,1.7.20,1.7.19,1.7.16,1.7.13,1.7.11,1.7.8,1.7.5,1.7.4,1.7.0,1.5.9,1.5.4,1.5.0,1.4.4
@backstage/theme,0.7.3,0.7.3,0.7.3,0.7.2,0.7.0,0.6.8,0.6.6,0.6.4,0.6.3,0.6.0,0.5.6,0.5.3,0.5.1,0.4.3
@backstage/types,1.2.2,1.2.2,1.2.2,1.2.2,1.2.2,1.2.1,1.2.1,1.2.1,1.2.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
@backstage/ui,0.17.1-next.0,0.17.0,0.16.0,0.13.2,0.9.1,0.7.0,,,,,,,,
@backstage/version-bridge,1.0.12,1.0.12,1.0.12,1.0.12,1.0.11,1.0.11,1.0.11,1.0.11,1.0.10,1.0.10,1.0.8,1.0.8,1.0.7,1.0.6
@techdocs/cli,1.11.3-next.0,1.11.2,1.11.1,1.10.6,1.10.2,1.9.7,1.9.3,1.9.0,1.8.25,1.8.21,1.8.16,1.8.10,1.8.5,1.6.0
